iter	Passed	Remaining
0	146	146047
1	146	73283
2	147	49010
3	147	36848
4	148	29567
5	149	24706
6	149	21229
7	150	18620
8	150	16599
9	151	14975
10	151	13646
11	152	12537
12	152	11599
13	153	10796
14	153	10105
15	154	9497
16	155	8971
17	156	8515
18	156	8095
19	157	7719
20	158	7372
21	158	7052
22	159	6761
23	159	6493
24	160	6247
25	160	6018
26	161	5807
27	161	5611
28	162	5429
29	162	5259
30	163	5100
31	163	4950
32	164	4810
33	164	4680
34	165	4557
35	165	4440
36	166	4329
37	166	4224
38	167	4124
39	167	4028
40	168	3938
41	168	3852
42	169	3770
43	169	3691
44	170	3627
45	171	3561
46	172	3493
47	172	3427
48	173	3364
49	173	3303
50	174	3244
51	174	3187
52	175	3133
53	175	3081
54	176	3030
55	176	2981
56	177	2937
57	178	2891
58	178	2847
59	179	2804
60	179	2763
61	180	2723
62	180	2684
63	180	2646
64	181	2610
65	181	2575
66	182	2540
67	182	2507
68	183	2475
69	183	2443
70	184	2413
71	185	2389
72	186	2362
73	186	2336
74	187	2312
75	188	2285
76	188	2259
77	188	2233
78	189	2208
79	189	2184
80	190	2160
81	190	2137
82	191	2113
83	191	2092
84	192	2070
85	192	2049
86	193	2029
87	193	2008
88	194	1989
89	194	1969
90	195	1950
91	195	1932
92	196	1914
93	196	1896
94	197	1879
95	197	1862
96	198	1845
97	198	1828
98	199	1812
99	200	1800
100	200	1786
101	201	1771
102	201	1759
103	202	1745
104	203	1731
105	203	1718
106	204	1707
107	205	1697
108	206	1684
109	206	1671
110	207	1658
111	207	1645
112	207	1632
113	208	1620
114	209	1608
115	209	1596
116	209	1584
117	210	1573
118	210	1561
119	211	1550
120	211	1539
121	212	1528
122	212	1517
123	213	1506
124	213	1496
125	214	1486
126	215	1479
127	215	1470
128	216	1462
129	217	1453
130	217	1443
131	218	1434
132	218	1424
133	219	1416
134	219	1408
135	220	1399
136	220	1391
137	221	1383
138	222	1375
139	222	1367
140	223	1359
141	223	1351
142	224	1343
143	224	1336
144	225	1328
145	225	1321
146	226	1314
147	227	1306
148	227	1299
149	228	1293
150	228	1286
151	229	1278
152	230	1276
153	231	1270
154	231	1264
155	232	1258
156	233	1254
157	234	1248
158	234	1241
159	235	1235
160	235	1227
161	236	1221
162	236	1215
163	237	1208
164	237	1202
165	238	1196
166	238	1190
167	239	1184
168	239	1178
169	240	1172
170	240	1166
171	241	1161
172	241	1155
173	242	1149
174	242	1144
175	243	1138
176	243	1132
177	244	1127
178	245	1124
179	245	1120
180	247	1117
181	247	1113
182	248	1108
183	248	1103
184	249	1098
185	249	1093
186	250	1088
187	250	1083
188	251	1078
189	251	1073
190	252	1068
191	252	1064
192	253	1059
193	253	1054
194	254	1050
195	254	1045
196	255	1040
197	255	1036
198	256	1031
199	256	1027
200	257	1023
201	257	1019
202	258	1014
203	258	1010
204	259	1006
205	260	1003
206	261	1000
207	261	997
208	262	993
209	263	989
210	263	985
211	264	981
212	264	978
213	265	974
214	265	970
215	266	966
216	266	962
217	267	959
218	267	955
219	268	951
220	268	948
221	269	944
222	270	940
223	270	937
224	271	933
225	271	929
226	272	926
227	272	922
228	273	919
229	273	915
230	274	912
231	274	908
232	275	906
233	276	903
234	277	902
235	277	899
236	278	895
237	278	892
238	279	889
239	279	886
240	280	882
241	280	879
242	281	876
243	281	873
244	282	870
245	282	867
246	283	864
247	283	861
248	284	858
249	285	855
250	285	852
251	286	849
252	286	846
253	287	844
254	287	841
255	288	838
256	290	839
257	291	837
258	292	835
259	292	833
260	293	830
261	293	827
262	294	825
263	295	822
264	295	819
265	296	817
266	296	814
267	297	811
268	297	809
269	298	806
270	299	804
271	299	802
272	300	799
273	300	797
274	301	795
275	302	792
276	302	790
277	303	788
278	304	786
279	305	785
280	306	783
281	306	781
282	307	779
283	308	776
284	308	774
285	309	772
286	309	769
287	310	767
288	311	766
289	312	764
290	314	767
291	317	768
292	317	766
293	318	764
294	319	763
295	320	761
296	321	760
297	321	758
298	322	755
299	323	753
300	323	751
301	324	749
302	325	747
303	326	746
304	326	744
305	327	742
306	327	740
307	328	738
308	329	735
309	329	733
310	330	731
311	330	729
312	331	727
313	331	724
314	332	722
315	332	720
316	333	718
317	335	719
318	336	719
319	337	717
320	338	716
321	339	714
322	340	713
323	340	711
324	341	709
325	342	707
326	342	705
327	343	703
328	344	702
329	345	701
330	346	700
331	347	698
332	347	697
333	350	698
334	351	697
335	352	695
336	352	694
337	353	692
338	354	690
339	354	688
340	355	686
341	356	685
342	356	683
343	357	681
344	358	680
345	358	678
346	359	676
347	360	674
348	360	673
349	361	671
350	362	669
351	362	668
352	364	667
353	365	666
354	366	665
355	367	663
356	367	662
357	368	660
358	368	658
359	369	656
360	370	655
361	370	653
362	371	652
363	372	650
364	373	649
365	374	648
366	374	646
367	375	645
368	376	643
369	377	642
370	377	640
371	379	640
372	380	639
373	381	638
374	382	636
375	382	635
376	383	633
377	384	631
378	384	630
379	385	628
380	386	627
381	386	626
382	387	624
383	388	622
384	388	621
385	389	619
386	390	618
387	390	616
388	391	615
389	392	613
390	392	612
391	395	612
392	396	611
393	396	610
394	397	608
395	398	607
396	398	605
397	399	604
398	400	603
399	401	602
400	402	600
401	402	599
402	403	597
403	404	596
404	404	594
405	405	593
406	406	591
407	406	590
408	407	589
409	408	588
410	410	588
411	411	587
412	412	586
413	413	584
414	413	583
415	414	581
416	415	580
417	415	578
418	416	577
419	417	576
420	417	574
421	418	573
422	419	571
423	419	570
424	420	568
425	421	567
426	421	565
427	422	564
428	422	562
429	424	562
430	425	561
431	426	560
432	426	558
433	427	557
434	428	556
435	429	555
436	429	553
437	430	552
438	430	550
439	431	549
440	432	547
441	432	546
442	433	545
443	434	543
444	435	542
445	435	541
446	436	539
447	437	538
448	437	537
449	438	535
450	441	536
451	441	535
452	442	534
453	443	533
454	443	531
455	444	530
456	445	528
457	445	527
458	446	526
459	447	525
460	447	523
461	448	522
462	449	520
463	449	519
464	450	518
465	451	516
466	451	515
467	452	514
468	453	512
469	454	512
470	455	512
471	457	511
472	458	510
473	458	508
474	459	507
475	459	506
476	460	504
477	461	503
478	461	502
479	462	500
480	462	499
481	463	498
482	464	496
483	464	495
484	465	494
485	466	493
